unique_id,collision_id,crash_date,crash_time,person_id,person_type,person_injury,vehicle_id,person_age,ejection,emotional_status,bodily_injury,position_in_vehicle,safety_equipment,complaint,ped_role,person_sex,ped_location,ped_action,contributing_factor_1,contributing_factor_2
13498692,4848117,2025-10-07T00:00:00.000,9:56,24d3d3dc-44a4-44d2-a9da-b1b5c9381d41,Occupant,Unspecified,20949344,56,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,Does Not Apply,Driver,M,,,,
13498693,4848117,2025-10-07T00:00:00.000,9:56,892aff49-8014-4079-b345-2bb76939c219,Pedestrian,Injured,,39,,Shock,Neck,,,None Visible,Pedestrian,M,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Riding/Walking Along Highway With Traffic,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified
13498694,4848117,2025-10-07T00:00:00.000,9:56,3bd41ee8-2554-44c6-929c-d77416bb6417,Occupant,Unspecified,20949344,65,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Unknown,Does Not Apply,Passenger,F,,,,
13498695,4848117,2025-10-07T00:00:00.000,9:56,211e8ffb-9d8a-45cb-a974-764a7b2cec94,Occupant,Unspecified,20949344,,,,,,,,Registrant,U,,,,
13501411,4848553,2025-10-07T00:00:00.000,9:45,0b944513-12ba-4e1c-a6b9-2935c6fcdc97,Bicyclist,Unspecified,20950877,28,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,Does Not Apply,Driver,F,,,,
13501412,4848553,2025-10-07T00:00:00.000,9:45,43996d6a-91e2-46f5-8e81-2b5dd968b854,Occupant,Unspecified,20950876,60,,,,,,,Registrant,F,,,,
13501410,4848553,2025-10-07T00:00:00.000,9:45,6bacd065-b8d7-48b8-9b34-7f79e645872d,Occupant,Unspecified,20950876,31,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,Does Not Apply,Driver,M,,,,
13499043,4848104,2025-10-07T00:00:00.000,9:30,673f533d-6200-4385-bf24-78f4208b0ce0,Occupant,Unspecified,20949536,39,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,Does Not Apply,Driver,M,,,,
13499045,4848104,2025-10-07T00:00:00.000,9:30,a4e08e99-f857-4f41-a6bc-8a1265bc76f5,Occupant,Unspecified,20949536,,,,,,,,Registrant,,,,,
13499044,4848104,2025-10-07T00:00:00.000,9:30,736fbab2-df2e-4685-a91f-ef95b5e5e2ce,Occupant,Unspecified,20949535,,,,,,,,Registrant,,,,,
13498579,4848154,2025-10-07T00:00:00.000,9:25,e4229ed0-a866-45c2-a550-2cfa26a5cde7,Pedestrian,Injured,,49,,Conscious,Head,,,Complaint of Pain or Nausea,Pedestrian,F,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Unspecified,Unspecified
13498578,4848154,2025-10-07T00:00:00.000,9:25,93e639fe-0716-4619-ae71-f3e34ec3341c,Bicyclist,Injured,20949288,65,Ejected,Conscious,Face,Driver,Helmet Only (In-Line Skater/Bicyclist),Minor Burn,Driver,M,,,,
13500730,4848577,2025-10-07T00:00:00.000,9:18,89d28e56-06a2-4f5e-9b2c-8c4312b2d3a2,Occupant,Injured,20950491,47,Not Ejected,Conscious,Knee-Lower Leg Foot,Driver,Unknown,Complaint of Pain or Nausea,Driver,M,,,,
13500732,4848577,2025-10-07T00:00:00.000,9:18,7f9374c2-7a09-47e4-9c9d-352153ecc4b6,Occupant,Unspecified,20950492,83,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,Does Not Apply,Driver,M,,,,
