crash_date,crash_time,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,latitude,longitude,location.latitude,location.longitude,on_street_name,off_street_name,borough,zip_code,contributing_factor_vehicle_3,vehicle_type_code_3,cross_street_name,contributing_factor_vehicle_4,vehicle_type_code_4
2012-07-01T00:00:00.000,0:21,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,2836632,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,,,,,,,,,,
2012-07-01T00:00:00.000,12:00,1,0,0,0,0,0,1,0,Unspecified,Unspecified,2912094,PASSENGER VEHICLE,UNKNOWN,40.8243922,-73.8362930,40.8243922,-73.836293,,,,,,,,,
2012-07-01T00:00:00.000,14:11,0,0,0,0,0,0,0,0,Unspecified,Unspecified,175810,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,,FLATBUSH AVENUE                 ,GRAND ARMY PLAZA                ,,,,,,,
2012-07-01T00:00:00.000,5:00,0,0,0,0,0,0,0,0,Unspecified,,3125060,VAN,,40.5373316,-74.1891267,40.5373316,-74.1891267,,,,,,,,,
2012-07-01T00:00:00.000,8:30,0,0,0,0,0,0,0,0,Unspecified,,70031,PASSENGER VEHICLE,,,,,,WEST 181 STREET                 ,RIVERSIDE DRIVE                 ,,,,,,,
2012-07-01T00:00:00.000,1:52,0,0,0,0,0,0,0,0,Unspecified,Unspecified,238639,UNKNOWN,PASSENGER VEHICLE,,,,,GREENPOINT AVENUE               ,REVIEW AVENUE                   ,,,,,,,
2012-07-01T00:00:00.000,0:05,1,0,0,0,0,0,1,0,Other Electronic Device,Unspecified,2999940,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6977532,-73.8139159,40.6977532,-73.8139159,,,,,,,,,
2012-07-01T00:00:00.000,9:40,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,5294,PASSENGER VEHICLE,LIVERY VEHICLE,40.7140687,-73.9975038,40.7140687,-73.9975038,DIVISION STREET                 ,CATHERINE STREET                ,MANHATTAN,10002,,,,,
2012-07-01T00:00:00.000,18:10,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,116262,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,40.6055989,-73.9595748,40.6055989,-73.9595748,AVENUE R                        ,EAST 13 STREET                  ,BROOKLYN,11229,,,,,
2012-07-01T00:00:00.000,0:37,1,0,0,0,0,0,1,0,Unspecified,Unspecified,37633,TAXI,PASSENGER VEHICLE,40.7559235,-73.9748888,40.7559235,-73.9748888,PARK AVENUE                     ,EAST 48 STREET                  ,MANHATTAN,10017,,,,,
2012-07-01T00:00:00.000,18:00,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,25,PASSENGER VEHICLE,PASSENGER VEHICLE,40.7136919,-74.0137542,40.7136919,-74.0137542,WEST STREET                     ,VESEY STREET                    ,MANHATTAN,10007,,,,,
2012-07-01T00:00:00.000,1:03,1,0,0,0,0,0,1,0,Cell Phone (hands-free),Unspecified,293130,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,,HYLAN BOULEVARD                 ,NARROWS ROAD SOUTH              ,,,Unspecified,PASSENGER VEHICLE,,,
2012-07-01T00:00:00.000,15:13,0,0,0,0,0,0,0,0,Unspecified,Unspecified,59634,PASSENGER VEHICLE,PASSENGER VEHICLE,40.8025617,-73.9429917,40.8025617,-73.9429917,EAST 120 STREET                 ,MADISON AVENUE                  ,MANHATTAN,10035,,,,,
2012-07-01T00:00:00.000,18:40,0,0,0,0,0,0,0,0,Illness,,72590,SPORT UTILITY / STATION WAGON,,40.8016648,-73.9132226,40.8016648,-73.9132226,WILLOW AVENUE                   ,EAST 134 STREET                 ,BRONX,10454,,,,,
2012-07-01T00:00:00.000,14:00,0,0,0,0,0,0,0,0,Unspecified,Unspecified,129903,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6265698,-73.9709207,40.6265698,-73.9709207,OCEAN PARKWAY                   ,AVENUE I                        ,BROOKLYN,11230,,,,,
2012-07-01T00:00:00.000,4:50,1,0,1,0,0,0,0,0,Unspecified,,13866,PASSENGER VEHICLE,,40.7235061,-73.9792808,40.7235061,-73.9792808,EAST 6 STREET                   ,AVENUE C                        ,MANHATTAN,10009,,,,,
2012-07-01T00:00:00.000,15:10,2,0,0,0,0,0,2,0,Brakes Defective,Unspecified,72596,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,,GRAND CONCOURSE                 ,EAST 138 STREET                 ,,,,,,,
2012-07-01T00:00:00.000,19:13,0,0,0,0,0,0,0,0,Unspecified,Unspecified,179419,PASSENGER VEHICLE,UNKNOWN,40.6942307,-73.9460774,40.6942307,-73.9460774,TOMPKINS AVENUE                 ,WILLOUGHBY AVENUE               ,BROOKLYN,11206,,,,,
