crash_date,crash_time,borough,zip_code,latitude,longitude,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,location.latitude,location.longitude,location.human_address,on_street_name,off_street_name,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3
2025-09-30T00:00:00.000,12:11,BRONX,10457,40.852222,-73.892876,4439      3 AVE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4846492,Station Wagon/Sport Utility Vehicle,40.852222,-73.892876,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,17:07,MANHATTAN,10040,40.85623,-73.926865,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Oversized Vehicle,4846772,Station Wagon/Sport Utility Vehicle,40.85623,-73.926865,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",AUDUBON AVE,W 193 ST,Bus,,
2025-09-30T00:00:00.000,15:20,QUEENS,11373,40.745617,-73.87021,94-40     42 AVE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4846592,Sedan,40.745617,-73.87021,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,2:05,BROOKLYN,11212,40.660385,-73.92444,207       E 93 ST,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4846209,Station Wagon/Sport Utility Vehicle,40.660385,-73.92444,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,15:32,BROOKLYN,11205,40.696384,-73.97739,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,4846549,Sedan,40.696384,-73.97739,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",PARK AVE,N ELLIOTT PL,Sedan,,
2025-09-30T00:00:00.000,13:00,BROOKLYN,11232,40.650417,-74.019135,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4846676,Station Wagon/Sport Utility Vehicle,40.650417,-74.019135,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",1 AVE,50 ST,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,6:31,QUEENS,11436,40.668156,-73.79725,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,4846260,Station Wagon/Sport Utility Vehicle,40.668156,-73.79725,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",135 AVE,142 ST,,,
2025-09-30T00:00:00.000,15:59,MANHATTAN,10021,40.775043,-73.96515,,0,0,0,0,0,0,0,0,Passing Too Closely,Other Vehicular,4846694,Sedan,40.775043,-73.96515,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",5 AVE,E 76 ST,Bike,,
2025-09-30T00:00:00.000,8:30,QUEENS,11432,40.71602,-73.7967,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846302,Sedan,40.71602,-73.7967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",168 PL,84 AVE,Sedan,,
2025-09-30T00:00:00.000,13:30,BROOKLYN,11218,40.64154,-73.97723,418       E 3 ST,0,0,0,0,0,0,0,0,Unspecified,,4846461,Motorcycle,40.64154,-73.97723,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,17:56,BROOKLYN,11214,40.598522,-73.986565,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,4846797,Van,40.598522,-73.986565,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",85 ST,25 AVE,Station Wagon/Sport Utility Vehicle,Unspecified,
2025-09-30T00:00:00.000,6:30,,,40.771538,-73.87609,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4846841,Sedan,40.771538,-73.87609,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",94 ST,GRAND CENTRAL PKWY,Sedan,,
2025-09-30T00:00:00.000,9:45,,,40.70786,-73.84846,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,4846433,Station Wagon/Sport Utility Vehicle,40.70786,-73.84846,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",JACKIE ROBINSON PKWY,,,,
2025-09-30T00:00:00.000,7:00,BROOKLYN,11207,0.0000000,0.0000000,174       ALABAMA AVE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846373,Station Wagon/Sport Utility Vehicle,0.0,0.0,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,20:17,BROOKLYN,11207,40.664753,-73.89404,,1,0,1,0,0,0,0,0,Unspecified,,4846412,Station Wagon/Sport Utility Vehicle,40.664753,-73.89404,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",PENNSYLVANIA AVE,LIVONIA AVE,,,
2025-09-30T00:00:00.000,9:05,BROOKLYN,11208,40.673862,-73.88258,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4846374,Station Wagon/Sport Utility Vehicle,40.673862,-73.88258,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",PITKIN AVE,LINWOOD ST,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,16:00,BROOKLYN,11209,40.61998,-74.02368,,0,0,0,0,0,0,0,0,Unspecified,,4846447,Station Wagon/Sport Utility Vehicle,40.61998,-74.02368,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",86 ST,GATLING PL,,,
2025-09-30T00:00:00.000,12:50,BROOKLYN,11234,40.60119,-73.91215,2875      FLATBUSH AVE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4846327,Taxi,40.60119,-73.91215,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Sedan,,
2025-09-30T00:00:00.000,0:20,QUEENS,11418,40.69537,-73.83772,87-32     110 ST,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,4846635,Station Wagon/Sport Utility Vehicle,40.69537,-73.83772,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,6:00,BRONX,10458,40.865635,-73.887024,395       E 197 ST,0,0,0,0,0,0,0,0,Unspecified,,4846724,Sedan,40.865635,-73.887024,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,0:40,BROOKLYN,11220,40.64712,-74.01516,,0,0,0,0,0,0,0,0,Illnes,,4846360,Sedan,40.64712,-74.01516,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",51 ST,3 AVE,,,
2025-09-30T00:00:00.000,1:07,BROOKLYN,11222,40.72178,-73.937,100       BEADEL ST,0,0,0,0,0,0,0,0,Unspecified,,4846440,Sedan,40.72178,-73.937,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,23:10,MANHATTAN,10036,40.75734,-73.986015,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,4846563,Bike,40.75734,-73.986015,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",7 AVE,W 44 ST,,,
2025-09-30T00:00:00.000,7:20,QUEENS,11385,40.694843,-73.90254,1069      WYCKOFF AVE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846796,Sedan,40.694843,-73.90254,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,14:17,BROOKLYN,11230,40.633644,-73.96394,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846464,Station Wagon/Sport Utility Vehicle,40.633644,-73.96394,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",FOSTER AVE,RUGBY RD,Sedan,,
2025-09-30T00:00:00.000,3:15,QUEENS,11420,40.67651,-73.81436,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,4846513,Station Wagon/Sport Utility Vehicle,40.67651,-73.81436,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",116 AVE,124 ST,Sedan,,
2025-09-30T00:00:00.000,16:00,BROOKLYN,11207,40.672974,-73.89647,196       PENNSYLVANIA AVE,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,4846383,Sedan,40.672974,-73.89647,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,10:40,MANHATTAN,10030,0.0000000,0.0000000,143       W 141 ST,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4846920,Taxi,0.0,0.0,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Box Truck,,
2025-09-30T00:00:00.000,11:45,MANHATTAN,10011,40.746124,-74.00083,358       W 23 ST,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4846850,Sedan,40.746124,-74.00083,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Bus,,
2025-09-30T00:00:00.000,8:15,BROOKLYN,11220,40.644863,-74.01747,,1,0,1,0,0,0,0,0,Unspecified,,4846361,Cement tru,40.644863,-74.01747,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",3 AVE,55 ST,,,
2025-09-30T00:00:00.000,15:47,MANHATTAN,10022,40.75898,-73.96243,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4846610,Sedan,40.75898,-73.96243,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",1 AVE,E 58 ST,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,1:20,,,40.73958,-73.84283,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,4846992,Sedan,40.73958,-73.84283,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",MEADOW LAKE PARK PATH,MEADOW LAKE DRIVE,Sedan,,
2025-09-30T00:00:00.000,14:36,BROOKLYN,11215,40.668316,-73.98302,358       8 ST,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4846707,Sedan,40.668316,-73.98302,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Sedan,,
2025-09-30T00:00:00.000,18:45,QUEENS,11412,40.690228,-73.76221,,0,0,0,0,0,0,0,0,Other Vehicular,,4846530,Station Wagon/Sport Utility Vehicle,40.690228,-73.76221,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",FARMERS BLVD,118 AVE,,,
2025-09-30T00:00:00.000,16:51,BRONX,10468,40.870857,-73.89779,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,4846476,Sedan,40.870857,-73.89779,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",RESERVOIR AVE,STRONG ST,Moped,,
2025-09-30T00:00:00.000,20:40,BROOKLYN,11207,40.67118,-73.89548,265       PENNSYLVANIA AVE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846553,Sedan,40.67118,-73.89548,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,11:17,BROOKLYN,11207,40.690647,-73.90804,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,4846677,Station Wagon/Sport Utility Vehicle,40.690647,-73.90804,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",WILSON AVE,COVERT ST,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,16:01,QUEENS,11368,40.738697,-73.85897,,1,0,1,0,0,0,0,0,Unspecified,,4846997,Moped,40.738697,-73.85897,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",57 AVE,100 ST,,,
2025-09-30T00:00:00.000,7:05,QUEENS,11366,40.721344,-73.80585,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846245,Sedan,40.721344,-73.80585,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",162 ST,79 AVE,Box Truck,,
2025-09-30T00:00:00.000,16:36,STATEN ISLAND,10307,40.508972,-74.24383,58        SUMMIT ST,1,0,0,0,0,0,1,0,Other Vehicular,Unsafe Speed,4846500,Station Wagon/Sport Utility Vehicle,40.508972,-74.24383,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Dirt Bike,,
2025-09-30T00:00:00.000,17:22,BRONX,10468,40.871445,-73.89732,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4846979,Bike,40.871445,-73.89732,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",W 197 ST,GOULDEN AVE,,,
