unique_id,collision_id,crash_date,crash_time,person_id,person_type,person_injury,vehicle_id,person_age
2071973,245566,2012-07-01T00:00:00.000,16:10,3,Occupant,Injured,13407114,6
2008960,227949,2012-07-01T00:00:00.000,18:36,1,Occupant,Injured,12953346,47
2216626,3121371,2012-07-01T00:00:00.000,19:36,1,Occupant,Injured,14389094,42
1432150,72596,2012-07-01T00:00:00.000,15:10,1,Occupant,Injured,9792771,0
1681279,135060,2012-07-01T00:00:00.000,3:15,1,Occupant,Injured,11155876,28
1483681,85161,2012-07-01T00:00:00.000,1:00,1,Occupant,Injured,10051493,36
1364964,55548,2012-07-01T00:00:00.000,12:34,1,Pedestrian,Injured,,78
1865086,187677,2012-07-01T00:00:00.000,5:30,1,Pedestrian,Injured,,62
2071970,245565,2012-07-01T00:00:00.000,22:15,1,Occupant,Injured,13407111,32
1311960,26090,2012-07-01T00:00:00.000,23:10,3,Occupant,Injured,8879379,27
1581695,109479,2012-07-01T00:00:00.000,17:00,1,Occupant,Injured,10602279,37
1272219,9407,2012-07-01T00:00:00.000,3:10,1,Occupant,Injured,8530289,33
1432148,2879030,2012-07-01T00:00:00.000,5:45,1,Occupant,Injured,9792758,25
1323535,32046,2012-07-01T00:00:00.000,2:04,1,Pedestrian,Injured,,21
1825264,175814,2012-07-01T00:00:00.000,20:15,1,Pedestrian,Injured,,61
1795690,163378,2012-07-01T00:00:00.000,18:30,1,Pedestrian,Injured,,4
1335960,37633,2012-07-01T00:00:00.000,0:37,1,Occupant,Injured,9115326,36
1834705,179412,2012-07-01T00:00:00.000,3:15,3,Occupant,Injured,11967288,22
2172231,279642,2012-07-01T00:00:00.000,18:00,1,Occupant,Injured,14083798,54
2216628,293153,2012-07-01T00:00:00.000,16:15,2,Occupant,Injured,14389103,16
1265875,5296,2012-07-01T00:00:00.000,11:25,1,Pedestrian,Injured,,35
1854295,184518,2012-07-01T00:00:00.000,12:52,1,Pedestrian,Injured,,15
2008957,227944,2012-07-01T00:00:00.000,15:15,1,Occupant,Injured,12953336,50
1265871,5293,2012-07-01T00:00:00.000,4:40,1,Occupant,Injured,8474825,41
1885858,193861,2012-07-01T00:00:00.000,12:15,1,Bicyclist,Injured,12248780,21
2172234,279644,2012-07-01T00:00:00.000,20:45,2,Occupant,Injured,14083802,41
1557513,102719,2012-07-01T00:00:00.000,14:00,1,Pedestrian,Injured,,64
1499640,88542,2012-07-01T00:00:00.000,18:00,1,Occupant,Injured,10155437,43
1483682,2896729,2012-07-01T00:00:00.000,14:52,1,Occupant,Injured,10051512,55
2216625,3121370,2012-07-01T00:00:00.000,11:35,2,Occupant,Injured,14389092,54
1817597,172551,2012-07-01T00:00:00.000,8:34,1,Occupant,Injured,11861521,43
1499642,88544,2012-07-01T00:00:00.000,19:15,1,Occupant,Injured,10155441,64
1581693,2937606,2012-07-01T00:00:00.000,17:00,1,Occupant,Injured,10602277,50
1411140,68163,2012-07-01T00:00:00.000,22:00,1,Pedestrian,Injured,,88
1724747,147453,2012-07-01T00:00:00.000,20:44,3,Occupant,Injured,11397997,4
1885882,193933,2012-07-01T00:00:00.000,12:07,3,Occupant,Injured,12248941,66
1724743,147450,2012-07-01T00:00:00.000,1:10,1,Pedestrian,Injured,,18
1885857,193860,2012-07-01T00:00:00.000,12:07,3,Occupant,Injured,12248778,66
1335972,37719,2012-07-01T00:00:00.000,2:55,1,Occupant,Injured,9115491,54
1624635,121404,2012-07-01T00:00:00.000,16:30,2,Occupant,Injured,10868065,53
1805685,170749,2012-07-01T00:00:00.000,18:20,1,Occupant,Injured,11803414,66
1283471,13871,2012-07-01T00:00:00.000,21:40,1,Bicyclist,Injured,8613451,20
1272221,9409,2012-07-01T00:00:00.000,14:14,1,Occupant,Injured,8530292,31
2154889,272564,2012-07-01T00:00:00.000,16:01,3,Occupant,Injured,13976890,43
1529006,94873,2012-07-01T00:00:00.000,17:00,1,Occupant,Injured,10314605,61
1350093,44915,2012-07-01T00:00:00.000,15:55,1,Pedestrian,Injured,,64
1805687,170750,2012-07-01T00:00:00.000,17:00,2,Occupant,Injured,11803418,39
1805688,170750,2012-07-01T00:00:00.000,17:00,3,Occupant,Injured,11803419,42
1681284,135073,2012-07-01T00:00:00.000,2:45,1,Occupant,Injured,11155902,24
1885855,193860,2012-07-01T00:00:00.000,12:07,1,Occupant,Injured,12248777,31
1364965,55548,2012-07-01T00:00:00.000,12:34,2,Pedestrian,Injured,,61
1986470,3016724,2012-07-01T00:00:00.000,8:27,2,Occupant,Injured,12832204,40
2008953,3023332,2012-07-01T00:00:00.000,4:31,1,Occupant,Injured,12953320,20
1483687,85182,2012-07-01T00:00:00.000,2:50,1,Occupant,Injured,10051552,0
1865194,2983137,2012-07-01T00:00:00.000,18:00,1,Occupant,Injured,12128908,33
1529007,94873,2012-07-01T00:00:00.000,17:00,2,Occupant,Injured,10314606,49
2136243,3096744,2012-07-01T00:00:00.000,18:00,1,Occupant,Injured,13842526,42
1697051,140806,2012-07-01T00:00:00.000,12:40,1,Occupant,Injured,11252323,41
1795688,163374,2012-07-01T00:00:00.000,9:30,1,Occupant,Injured,11738299,41
2188983,284649,2012-07-01T00:00:00.000,11:55,1,Occupant,Injured,14197260,3
1885856,193860,2012-07-01T00:00:00.000,12:07,2,Occupant,Injured,12248778,66
1608977,116278,2012-07-01T00:00:00.000,5:17,1,Occupant,Injured,10773317,62
1724746,147453,2012-07-01T00:00:00.000,20:44,2,Occupant,Injured,11397997,31
1311959,26090,2012-07-01T00:00:00.000,23:10,2,Occupant,Injured,8879380,32
2071972,245566,2012-07-01T00:00:00.000,16:10,2,Occupant,Injured,13407114,41
2216622,293130,2012-07-01T00:00:00.000,1:03,1,Occupant,Injured,14389037,0
1681285,135073,2012-07-01T00:00:00.000,2:45,2,Occupant,Injured,11155902,21
2188982,284645,2012-07-01T00:00:00.000,17:26,3,Occupant,Injured,14197253,0
1805686,170750,2012-07-01T00:00:00.000,17:00,1,Occupant,Injured,11803418,39
1364966,55550,2012-07-01T00:00:00.000,14:14,1,Pedestrian,Injured,,30
1935447,208724,2012-07-01T00:00:00.000,8:37,1,Pedestrian,Injured,,45
2103675,3078713,2012-07-01T00:00:00.000,12:55,1,Occupant,Injured,13643878,25
2008958,227946,2012-07-01T00:00:00.000,15:30,1,Occupant,Injured,12953340,65
1752957,155800,2012-07-01T00:00:00.000,0:44,1,Occupant,Injured,11557855,10
1272226,9409,2012-07-01T00:00:00.000,14:14,6,Pedestrian,Injured,,22
1834703,179412,2012-07-01T00:00:00.000,3:15,1,Occupant,Injured,11967288,22
2172230,279637,2012-07-01T00:00:00.000,2:01,1,Occupant,Injured,14083785,48
2172229,279636,2012-07-01T00:00:00.000,5:40,1,Occupant,Injured,14083782,22
1624634,121404,2012-07-01T00:00:00.000,16:30,1,Occupant,Injured,10868065,30
1874228,191551,2012-07-01T00:00:00.000,19:30,1,Occupant,Injured,12182296,38
1902949,202234,2012-07-01T00:00:00.000,4:10,1,Occupant,Injured,12359697,22
1380864,59632,2012-07-01T00:00:00.000,17:30,1,Occupant,Injured,9500069,33
2028217,233147,2012-07-01T00:00:00.000,17:55,1,Pedestrian,Injured,,15
1817599,172552,2012-07-01T00:00:00.000,13:42,1,Occupant,Injured,11861523,0
2172233,279644,2012-07-01T00:00:00.000,20:45,1,Occupant,Injured,14083802,30
1265870,5292,2012-07-01T00:00:00.000,0:30,1,Occupant,Injured,8474823,31
2071965,245557,2012-07-01T00:00:00.000,10:40,1,Pedestrian,Injured,,45
1738734,152363,2012-07-01T00:00:00.000,14:30,1,Pedestrian,Injured,,35
1311958,26090,2012-07-01T00:00:00.000,23:10,1,Occupant,Injured,8879380,41
1902948,202233,2012-07-01T00:00:00.000,2:30,1,Occupant,Injured,12359695,23
2188981,284645,2012-07-01T00:00:00.000,17:26,2,Occupant,Injured,14197253,4
2226862,3125058,2012-07-01T00:00:00.000,5:00,1,Occupant,Injured,14460853,25
2088694,3064865,2012-07-01T00:00:00.000,15:40,2,Occupant,Injured,13524263,0
1335961,37634,2012-07-01T00:00:00.000,9:00,1,Pedestrian,Injured,,45
1885881,193933,2012-07-01T00:00:00.000,12:07,2,Occupant,Injured,12248941,65
2172232,279642,2012-07-01T00:00:00.000,18:00,2,Occupant,Injured,14083799,47
1581696,109479,2012-07-01T00:00:00.000,17:00,2,Occupant,Injured,10602280,31
1608974,116266,2012-07-01T00:00:00.000,2:20,2,Pedestrian,Injured,,17
2136241,3096743,2012-07-01T00:00:00.000,6:30,2,Occupant,Injured,13842520,77
1953018,213210,2012-07-01T00:00:00.000,18:00,1,Occupant,Injured,12655040,63
2028212,233124,2012-07-01T00:00:00.000,10:15,1,Occupant,Injured,13079751,0
1265874,5293,2012-07-01T00:00:00.000,4:40,4,Occupant,Injured,8474825,5
1499636,88538,2012-07-01T00:00:00.000,14:15,1,Occupant,Injured,10155425,40
1935448,2999941,2012-07-01T00:00:00.000,1:55,1,Occupant,Injured,12539973,29
1499643,2912094,2012-07-01T00:00:00.000,12:00,1,Occupant,Injured,10155449,42
1386838,62165,2012-07-01T00:00:00.000,14:40,1,Occupant,Injured,9537393,80
1432151,72596,2012-07-01T00:00:00.000,15:10,2,Occupant,Injured,9792771,74
1902950,202234,2012-07-01T00:00:00.000,4:10,2,Occupant,Injured,12359697,23
