unique_id,collision_id,crash_date,crash_time,vehicle_id,state_registration,vehicle_type,contributing_factor_1
12001719,182648,2012-07-01T00:00:00.000,8:00,2,NY,PASSENGER VEHICLE,Unspecified
13643877,3078713,2012-07-01T00:00:00.000,12:55,1,NY,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
10868064,121404,2012-07-01T00:00:00.000,16:30,1,NY,PASSENGER VEHICLE,Driver Inattention/Distraction
13226202,238643,2012-07-01T00:00:00.000,9:00,1,ON,PASSENGER VEHICLE,Unspecified
14197262,284650,2012-07-01T00:00:00.000,13:45,1,NY,PASSENGER VEHICLE,Unspecified
9792761,2879032,2012-07-01T00:00:00.000,17:50,1,NY,SPORT UTILITY / STATION WAGON,Unspecified
9716788,70030,2012-07-01T00:00:00.000,6:30,1,NJ,BUS,Backing Unsafely
14083808,279647,2012-07-01T00:00:00.000,10:40,1,NY,PASSENGER VEHICLE,Unspecified
12539974,2999941,2012-07-01T00:00:00.000,1:55,2,NJ,PASSENGER VEHICLE,Unspecified
9877706,78657,2012-07-01T00:00:00.000,22:00,3,CT,PASSENGER VEHICLE,Unspecified
8474829,5295,2012-07-01T00:00:00.000,11:15,2,NY,PASSENGER VEHICLE,Backing Unsafely
14389090,293149,2012-07-01T00:00:00.000,16:00,1,NY,SPORT UTILITY / STATION WAGON,Backing Unsafely
10051477,85154,2012-07-01T00:00:00.000,9:59,2,NY,SPORT UTILITY / STATION WAGON,Glare
13976889,272564,2012-07-01T00:00:00.000,16:01,1,NJ,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
11738299,163374,2012-07-01T00:00:00.000,9:30,2,NY,PASSENGER VEHICLE,Unspecified
8474821,5291,2012-07-01T00:00:00.000,13:25,1,NY,TAXI,Unspecified
9272177,44913,2012-07-01T00:00:00.000,15:40,1,TX,PASSENGER VEHICLE,Other Vehicular
10773293,116265,2012-07-01T00:00:00.000,18:55,1,NY,SPORT UTILITY / STATION WAGON,Backing Unsafely
13976883,272561,2012-07-01T00:00:00.000,1:30,2,NY,PASSENGER VEHICLE,Unspecified
8474826,5294,2012-07-01T00:00:00.000,9:40,1,NY,PASSENGER VEHICLE,Driver Inexperience
13643909,259364,2012-07-01T00:00:00.000,20:00,1,NY,PASSENGER VEHICLE,Driver Inattention/Distraction
11252328,140807,2012-07-01T00:00:00.000,18:54,1,NY,PASSENGER VEHICLE,Unspecified
8569382,2836632,2012-07-01T00:00:00.000,0:21,1,NY,SPORT UTILITY / STATION WAGON,Unspecified
9841016,76204,2012-07-01T00:00:00.000,9:20,1,OK,LARGE COM VEH(6 OR MORE TIRES),Unspecified
13976878,272559,2012-07-01T00:00:00.000,6:30,1,NY,PASSENGER VEHICLE,Unspecified
14083798,279642,2012-07-01T00:00:00.000,18:00,1,NY,PASSENGER VEHICLE,Unspecified
10956634,125665,2012-07-01T00:00:00.000,23:00,1,NY,PASSENGER VEHICLE,Unspecified
13226206,238645,2012-07-01T00:00:00.000,19:10,1,NY,PASSENGER VEHICLE,Unspecified
12450555,203692,2012-07-01T00:00:00.000,23:30,1,NY,PASSENGER VEHICLE,Unspecified
10314590,94867,2012-07-01T00:00:00.000,1:20,1,NY,SPORT UTILITY / STATION WAGON,Unspecified
13226239,238660,2012-07-01T00:00:00.000,22:02,1,NY,PASSENGER VEHICLE,Physical Disability
10773270,116255,2012-07-01T00:00:00.000,10:50,1,NY,SPORT UTILITY / STATION WAGON,Backing Unsafely
11398005,147457,2012-07-01T00:00:00.000,23:20,1,MD,PASSENGER VEHICLE,Unspecified
10868065,121404,2012-07-01T00:00:00.000,16:30,2,NY,SPORT UTILITY / STATION WAGON,Lost Consciousness
9115342,37641,2012-07-01T00:00:00.000,16:00,2,NY,PASSENGER VEHICLE,Turning Improperly
13407118,245568,2012-07-01T00:00:00.000,21:30,2,NY,SPORT UTILITY / STATION WAGON,Unspecified
9668034,68162,2012-07-01T00:00:00.000,11:15,2,NY,SPORT UTILITY / STATION WAGON,Unspecified
9396185,55558,2012-07-01T00:00:00.000,10:20,2,NY,PASSENGER VEHICLE,Unspecified
10665179,113541,2012-07-01T00:00:00.000,20:00,1,NY,PASSENGER VEHICLE,Unspecified
13407111,245565,2012-07-01T00:00:00.000,22:15,1,NY,MOTORCYCLE,Unspecified
8782121,21675,2012-07-01T00:00:00.000,19:35,1,NY,PASSENGER VEHICLE,Unspecified
10773292,116264,2012-07-01T00:00:00.000,18:21,2,NY,PASSENGER VEHICLE,Unspecified
10665451,113674,2012-07-01T00:00:00.000,18:20,1,NJ,PASSENGER VEHICLE,Unspecified
9841023,76207,2012-07-01T00:00:00.000,13:32,2,NY,PASSENGER VEHICLE,Unspecified
14197260,284649,2012-07-01T00:00:00.000,11:55,1,NY,PASSENGER VEHICLE,Unspecified
11397992,147449,2012-07-01T00:00:00.000,6:27,2,NY,PASSENGER VEHICLE,Unspecified
12248790,193866,2012-07-01T00:00:00.000,20:30,2,NY,SPORT UTILITY / STATION WAGON,Unspecified
10868055,121400,2012-07-01T00:00:00.000,2:35,1,IL,PASSENGER VEHICLE,Unspecified
12049478,184525,2012-07-01T00:00:00.000,21:30,1,NY,PASSENGER VEHICLE,Unspecified
9396167,55550,2012-07-01T00:00:00.000,14:14,1,NY,UNKNOWN,Passenger Distraction
8697902,16527,2012-07-01T00:00:00.000,21:00,2,NJ,OTHER,Unspecified
13745270,264074,2012-07-01T00:00:00.000,12:43,1,NY,SMALL COM VEH(4 TIRES),Driver Inexperience
10868106,121425,2012-07-01T00:00:00.000,23:00,1,NJ,PASSENGER VEHICLE,Unspecified
10523334,106894,2012-07-01T00:00:00.000,19:10,2,NY,UNKNOWN,Unspecified
11738300,163375,2012-07-01T00:00:00.000,15:00,1,NC,PASSENGER VEHICLE,Unspecified
11557859,2964850,2012-07-01T00:00:00.000,13:55,1,NY,PASSENGER VEHICLE,Unspecified
12049472,184522,2012-07-01T00:00:00.000,19:55,1,NY,LIVERY VEHICLE,Unspecified
11620384,160107,2012-07-01T00:00:00.000,16:30,2,NY,SPORT UTILITY / STATION WAGON,Unspecified
8474833,5298,2012-07-01T00:00:00.000,12:00,1,NY,PASSENGER VEHICLE,Unspecified
