unique_id,collision_id,crash_date,crash_time,vehicle_id,state_registration,vehicle_type,vehicle_year,travel_direction,vehicle_occupants,driver_sex,driver_license_status,driver_license_jurisdiction,pre_crash,point_of_impact,vehicle_damage,vehicle_damage_1,vehicle_damage_2,vehicle_damage_3,public_property_damage,contributing_factor_1,contributing_factor_2,vehicle_make,public_property_damage_type
20946194,4846582,2025-09-30T00:00:00.000,17:49,3f4314a9-34ca-439b-81c0-684fd0b72d83,NY,Van,2023,South,1,M,Licensed,NY,Parked,Left Side Doors,No Damage,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,,
20945647,4846493,2025-09-30T00:00:00.000,23:20,33686d5f-0804-417b-8362-d22c0799a2f0,,,,South,,,,,Going Straight Ahead,Center Front End,Center Front End,,,,Unspecified,Unsafe Speed,Driver Inattention/Distraction,,
20945793,4846444,2025-09-30T00:00:00.000,12:56,b7cbe23a-81e2-4152-bf92-e9da2ab59f46,NY,Sedan,2025,West,1,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,Left Front Bumper,Left Rear Bumper,,N,Unspecified,Unspecified,BMW -CAR/SUV,
20946468,4846575,2025-09-30T00:00:00.000,16:00,0b60ac15-a51c-4a6b-b16a-4fcaa07750c2,,,,West,,,,,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,Unspecified,Driver Inattention/Distraction,Driver Inattention/Distraction,,
20945701,4846435,2025-09-30T00:00:00.000,20:07,c5aefd00-188a-4001-b992-273b3f21e9e9,NY,Station Wagon/Sport Utility Vehicle,2017,Northeast,0,M,Licensed,NY,Parked,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Rear Quarter Panel,N,Unspecified,Unspecified,BMW -CAR/SUV,
20946258,4846558,2025-09-30T00:00:00.000,15:20,ea44d9f3-db0f-4efc-b2f9-ca8f7a5b15a8,NY,Sedan,2012,East,0,M,Licensed,NY,Making Left Turn,Left Front Bumper,Left Front Bumper,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Driver Inexperience,HOND -CAR/SUV,
20946911,4846962,2025-09-30T00:00:00.000,15:53,af01c3a7-a264-4d83-9870-20de1cf167ba,PA,,2013,South,1,,,,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Center Front End,Center Front End,,N,Unspecified,Unspecified,GMC -CAR/SUV,
20946172,4846522,2025-09-30T00:00:00.000,18:50,e5509342-8aeb-49a6-94b2-29fef1d11cd2,IN,Box Truck,2021,North,1,M,Unlicensed,NY,Backing,Right Rear Bumper,No Damage,No Damage,No Damage,No Damage,Unspecified,Driver Inexperience,Unspecified,GMC,
20945927,4846403,2025-09-30T00:00:00.000,14:50,29187474-d71f-412a-81aa-1c7a110ccb42,,Moped,2025,East,1,M,Unlicensed,,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Demolished,Demolished,Demolished,N,Aggressive Driving/Road Rage,Driver Inexperience,ZHILONG,
20947082,4846792,2025-09-30T00:00:00.000,16:00,27400929-ff68-461b-adb8-b0a60e2924d1,MA,,2012,,1,,,,Going Straight Ahead,Left Side Doors,Left Side Doors,,,,N,Passing or Lane Usage Improper,Unspecified,VOLV -TRUCK/BUS,
